Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Propertycount,Price
2,u,Inmobiliaria Tecnorete,08-07-2017,8.7,28031,2.0,1.0,1.0,50.0,,1970.0,Moncloa-Aravaca,5051,636500
3,t,Inmobiliaria Tecnorete,08-07-2017,11.7,28016,3.0,2.0,1.0,50.0,127,2011.0,Puente de Vallecas,3582,930000
3,h,Inmobiliaria Tecnorete,08-07-2017,27.0,28008,,,,,,,Hortaleza,3906,1000000
3,h,Inmobiliaria Habita2,08-07-2017,16.7,28012,3.0,1.0,2.0,615.0,,,Chamberí,5837,1018000
2,h,Redpiso,08-07-2017,6.7,28004,2.0,1.0,2.0,378.0,105,1920.0,Moncloa-Aravaca,11204,760000
2,t,Inmobiliaria Bankia,08-07-2017,6.7,28014,2.0,2.0,1.0,134.0,100,2014.0,Lavapiés,11204,876000
3,t,Inmobiliaria Fincas Asesoria,08-07-2017,6.7,28030,,,,,,,Barajas,11204,780000
1,h,Alfa Inmobiliaria,08-07-2017,6.7,28011,1.0,1.0,4.0,741.0,,,Chamartín,3445,867000
1,u,Tecnocasa,08-07-2017,2.0,28002,1.0,1.0,0.0,50.0,46,1960.0,Barajas,4553,365000
3,h,Inmobiliaria Soluciones,08-07-2017,2.0,28005,3.0,2.0,0.0,186.0,137,1890.0,Ciudad Universitaria,4553,1297000
4,h,Vivienda2,08-07-2017,17.4,28020,4.0,1.0,0.0,616.0,,,Chamberí,1124,515000
4,h,Vivienda2,08-07-2017,34.7,28018,4.0,2.0,2.0,612.0,,,La Latina,6464,670000
5,h,Vivienda2,08-07-2017,23.0,28018,4.0,2.0,2.0,974.0,200,1975.0,Moratalaz,11925,865000
4,h,Inmobiliaria La Playa,08-07-2017,23.0,28005,4.0,2.0,2.0,815.0,140,1960.0,Paseo de la Castellana,11925,760000
3,h,Inmobiliaria Barreras,08-07-2017,23.0,28017,3.0,1.0,2.0,802.0,105,1980.0,Vicálvaro,11925,725000
2,t,Inmobiliaria NuevaVida,08-07-2017,23.0,28031,2.0,1.0,1.0,2040.0,,,Paseo de la Castellana,11925,480000
4,h,Look & Find,08-07-2017,23.0,28027,4.0,2.0,2.0,864.0,228,2008.0,Embajadores,11925,1120000
3,h,Redpiso,08-07-2017,24.7,28005,3.0,1.0,1.0,375.0,,,Chamartín,8322,465000
4,h,Inmobiliaria Soluciones,08-07-2017,24.7,28020,4.0,2.0,2.0,680.0,,,Hortaleza,8322,614000
4,h,Inmobiliaria Gicoc,08-07-2017,24.7,28006,4.0,2.0,1.0,830.0,200,1980.0,Salamanca,8322,930000
3,h,Inmobiliaria Zome,08-07-2017,14.8,28029,3.0,1.0,2.0,539.0,148,1985.0,Ciudad Universitaria,6388,557000
5,h,Inmobiliaria Soluciones,08-07-2017,14.8,28018,,,,,,,Ciudad Universitaria,6388,771000
3,h,Alfa Inmobiliaria,08-07-2017,14.8,28010,3.0,1.0,2.0,697.0,135,1955.0,Villa de Vallecas,6388,650000
4,h,Inmobiliaria MetroCuadrado,08-07-2017,14.7,28006,4.0,2.0,2.0,655.0,,,Carabanchel,2276,750000
3,h,Inmobiliaria MetroCuadrado,08-07-2017,22.2,28004,3.0,2.0,1.0,539.0,134,1968.0,Hortaleza,3940,806000
3,h,Inmobiliaria Grupo Fincasa,08-07-2017,22.2,28026,3.0,1.0,3.0,564.0,,,Tetuán,3940,892000
3,h,Inmobiliaria Activa,08-07-2017,12.4,28029,3.0,3.0,3.0,823.0,,,Chamberí,9028,1345000
4,h,Alfa Inmobiliaria,08-07-2017,12.4,28026,4.0,2.0,2.0,736.0,,,Moncloa-Aravaca,9028,1430000
4,h,Idealista,08-07-2017,12.4,28015,4.0,3.0,2.0,674.0,250,1982.0,Hortaleza,9028,1663000
4,h,Inmobiliaria Barreras,08-07-2017,14.3,28007,4.0,3.0,2.0,706.0,200,1970.0,Hortaleza,10999,1310000
3,h,Inmobiliaria Novo,08-07-2017,14.3,28014,3.0,2.0,2.0,798.0,160,1978.0,La Latina,10999,1530000
4,h,Inmobiliaria Soluciones,08-07-2017,14.3,28011,4.0,3.0,2.0,664.0,,,Carabanchel,10999,1390000
3,h,Inmobiliaria Novo,08-07-2017,14.3,28015,3.0,2.0,2.0,643.0,,,Usera,10999,1423000
2,t,Inmobiliaria Tecnorete,08-07-2017,16.1,28007,2.0,1.0,1.0,196.0,100,2000.0,Chueca,4790,630000
3,h,Inmobiliaria Fincas Asesoria,08-07-2017,8.9,28020,3.0,1.0,2.0,615.0,138,1950.0,Fuencarral-El Pardo,1651,1300000
1,u,Inmobiliaria Bankia,08-07-2017,1.3,28001,,,,,,,Villaverde,3040,121000
5,h,Inmobiliaria Activa,08-07-2017,27.0,28008,5.0,6.0,3.0,900.0,178,1960.0,Tetuán,2546,1260000
3,u,Alfa Inmobiliaria,08-07-2017,27.0,28018,,,,,,,Arganzuela,2546,740000
3,h,Inmobiliaria Tecnorete,08-07-2017,18.0,28014,3.0,1.0,2.0,197.0,108,2009.0,Chueca,6990,655000
4,h,Inmobiliaria Soluciones,08-07-2017,18.0,28031,4.0,2.0,2.0,836.0,,,Villaverde,2346,792000
1,u,Tecnocasa,08-07-2017,7.2,28016,1.0,1.0,1.0,1192.0,44,2009.0,Moratalaz,8989,435000
1,u,Century 21,08-07-2017,7.2,28005,1.0,1.0,0.0,50.0,,1960.0,San Blas-Canillejas,8989,350000
3,h,Inmobiliaria Tecnorete,08-07-2017,19.6,28004,3.0,2.0,2.0,375.0,155,2012.0,Ciudad Lineal,10926,490000
3,h,Inmobiliaria Don Piso,08-07-2017,19.6,28013,3.0,1.0,1.0,597.0,,,Villa de Vallecas,10926,490000
3,u,Inmobiliaria Novo,08-07-2017,19.6,28017,3.0,1.0,1.0,227.0,101,,Latina,10926,392250
2,h,Tecnocasa,08-07-2017,19.6,28030,2.0,1.0,1.0,157.0,102,2000.0,Puente de Vallecas,10926,417500
3,h,Alfa Inmobiliaria,08-07-2017,7.5,28019,3.0,2.0,2.0,213.0,169,,Fuencarral-El Pardo,9264,1000000
1,u,Inmobiliaria Gicoc,08-07-2017,7.5,28025,1.0,1.0,1.0,50.0,,,Chamberí,9264,310000
3,h,Inmobiliaria Zome,08-07-2017,7.5,28005,3.0,2.0,1.0,445.0,182,1960.0,Embajadores,9264,1398000
3,t,Idealista,08-07-2017,24.8,28026,3.0,2.0,1.0,219.0,138,2010.0,Embajadores,10788,664000
3,t,Inmobiliaria Grupo Fincasa,08-07-2017,24.8,28022,3.0,2.0,2.0,1869.0,502,,Usera,10788,1900000
2,u,Remax,08-07-2017,2.1,28031,2.0,1.0,2.0,6367.0,75,1930.0,Ciudad Lineal,5825,790000
2,u,Inmobiliaria Novo,08-07-2017,2.1,28022,2.0,2.0,1.0,4421.0,84,2011.0,Vicálvaro,5825,830000
1,u,Inmobiliaria Zome,08-07-2017,2.1,28008,1.0,1.0,1.0,50.0,51,2011.0,Ciudad Lineal,5825,456000
2,h,Tecnocasa,08-07-2017,3.4,28015,2.0,1.0,0.0,132.0,,,Fuencarral-El Pardo,3593,1000000
2,t,Inmobiliaria Bankia,08-07-2017,5.1,28017,,,,,,,Ciudad Universitaria,7570,600000
3,t,Inmobiliaria NuevaVida,08-07-2017,5.1,28014,3.0,2.0,2.0,50.0,,,Villa de Vallecas,7570,800000
3,h,Look & Find,08-07-2017,38.0,28028,3.0,1.0,2.0,713.0,155,1980.0,Retiro,17055,565000
3,h,Engel & Völkers,08-07-2017,38.0,28006,3.0,1.0,2.0,835.0,118,1960.0,Barajas,7566,810000
4,h,Vivienda2,08-07-2017,12.9,28005,4.0,2.0,2.0,561.0,160,1970.0,Embajadores,3285,749000
1,u,Inmobiliaria Activa,08-07-2017,7.3,28002,1.0,1.0,1.0,50.0,38,1950.0,Chueca,10412,260000
1,u,Inmobiliaria MetroCuadrado,08-07-2017,7.3,28020,1.0,1.0,1.0,50.0,44,1960.0,Barajas,10412,330000
2,u,Vivienda2,08-07-2017,7.3,28025,2.0,1.0,1.0,2015.0,77,1960.0,Arganzuela,10412,501000
3,h,Redpiso,08-07-2017,16.7,28032,3.0,1.0,2.0,778.0,,,Villa de Vallecas,15321,1908000
3,h,Donpiso,08-07-2017,16.7,28032,3.0,2.0,1.0,839.0,116,1970.0,Malasaña,15321,1070000
4,h,Vivienda2,08-07-2017,11.2,28005,4.0,2.0,1.0,655.0,82,1950.0,Carabanchel,8870,700000
3,h,Tecnocasa,08-07-2017,11.2,28013,3.0,1.0,2.0,676.0,,,Barajas,8870,805000
3,h,Inmobiliaria Zome,08-07-2017,11.2,28028,3.0,1.0,1.0,600.0,,,Retiro,8870,721000
2,t,Inmobiliaria Novo,08-07-2017,11.2,28032,2.0,1.0,1.0,102.0,70,2012.0,Ciudad Lineal,8870,400000
2,h,Inmobiliaria Novo,08-07-2017,11.2,28015,2.0,2.0,1.0,248.0,99,2011.0,Carabanchel,8870,675000
4,t,Inmobiliaria Grupo Fincasa,08-07-2017,11.2,28021,4.0,2.0,2.0,228.0,,2003.0,Paseo de la Castellana,8870,656000
3,h,Housell,08-07-2017,16.1,28010,3.0,2.0,2.0,743.0,147,1980.0,Villaverde,8524,866000
4,h,Inmobiliaria Don Piso,08-07-2017,16.1,28001,4.0,3.0,4.0,925.0,,,Hortaleza,8524,1028000
3,t,Alfa Inmobiliaria,08-07-2017,20.4,28022,,,,,,,Villaverde,4864,495000
4,h,Inmobiliaria Novo,08-07-2017,20.4,28005,4.0,2.0,2.0,750.0,,,Moratalaz,4864,783000
5,h,Inmobiliaria Proincasa,08-07-2017,20.4,28005,5.0,3.0,2.0,544.0,332,2008.0,La Latina,4864,800000
3,h,Inmobiliaria La Playa,08-07-2017,11.2,28008,3.0,1.0,1.0,626.0,122,1950.0,Barajas,2606,735000
2,t,Housell,08-07-2017,11.2,28015,2.0,2.0,1.0,201.0,111,2005.0,Puente de Vallecas,2606,595000
2,t,Engel & Völkers,08-07-2017,11.2,28007,2.0,2.0,2.0,160.0,,,Arganzuela,2606,539000
3,h,Housell,08-07-2017,32.3,28020,3.0,2.0,2.0,1801.0,,,Puente de Vallecas,3728,1300000
1,u,Alfa Inmobiliaria,08-07-2017,13.8,28017,1.0,2.0,1.0,486.0,,2012.0,Moncloa-Aravaca,5454,580000
2,t,Inmobiliaria NuevaVida,08-07-2017,13.8,28031,2.0,1.0,1.0,50.0,99,1992.0,Malasaña,2356,771000
4,h,Inmobiliaria Proincasa,08-07-2017,33.3,28031,4.0,2.0,2.0,654.0,,1989.0,Paseo de la Castellana,8256,622000
3,h,Inmobiliaria Don Piso,08-07-2017,33.3,28026,3.0,1.0,1.0,301.0,98,1998.0,Villa de Vallecas,8256,400000
1,u,Redpiso,08-07-2017,5.3,28005,1.0,1.0,1.0,50.0,49,1960.0,Chamartín,11308,455000
2,u,Gilmar,08-07-2017,6.2,28032,2.0,1.0,1.0,915.0,73,1970.0,Salamanca,6482,615888
4,h,Engel & Völkers,08-07-2017,8.9,28012,4.0,2.0,3.0,680.0,,,Carabanchel,2890,1430000
2,u,Inmobiliaria Grupo Fincasa,08-07-2017,8.9,28027,2.0,1.0,1.0,2033.0,,,Puente de Vallecas,2890,534000
3,h,Vivienda2,08-07-2017,8.8,28013,3.0,1.0,1.0,436.0,,,Paseo de la Castellana,2674,575500
3,h,Inmobiliaria Bankia,08-07-2017,8.8,28022,3.0,1.0,2.0,481.0,,,Fuencarral-El Pardo,2674,600000
2,u,Remax,08-07-2017,8.8,28006,2.0,1.0,1.0,94.0,,,Chamberí,2674,445000
3,h,Inmobiliaria Novo,08-07-2017,16.0,28004,3.0,1.0,0.0,703.0,,,Embajadores,4794,1430000
4,h,Gilmar,08-07-2017,16.0,28023,4.0,2.0,2.0,680.0,680,2006.0,Fuencarral-El Pardo,4794,1820000
4,h,Vivienda2,08-07-2017,18.0,28007,4.0,2.0,2.0,724.0,,,Villa de Vallecas,5556,660000
5,h,Inmobiliaria MetroCuadrado,08-07-2017,12.3,28030,5.0,2.0,3.0,548.0,157,1920.0,Villa de Vallecas,3145,1475000
2,u,Look & Find,08-07-2017,12.3,28020,,,,,,,Ciudad Universitaria,3145,641000
5,h,Inmobiliaria Fincas Asesoria,08-07-2017,7.8,28008,5.0,3.0,2.0,740.0,222,1960.0,Chamartín,5549,2100000
3,h,Redpiso,08-07-2017,7.8,28010,3.0,1.0,2.0,670.0,,,Arganzuela,5549,1510000
3,u,Inmobiliaria Barreras,08-07-2017,7.8,28015,3.0,2.0,1.0,252.0,,,Paseo de la Castellana,5549,880000
2,h,Inmobiliaria Habita2,08-07-2017,7.8,28016,2.0,1.0,0.0,620.0,114,1920.0,Cuzco,5549,1320000
2,h,Gilmar,08-07-2017,14.0,28029,2.0,1.0,1.0,662.0,98,1960.0,Usera,851,575500
3,h,Inmobiliaria Fincas Asesoria,08-07-2017,14.5,28004,3.0,2.0,2.0,547.0,,,Chueca,2339,775000
4,h,Inmobiliaria Grupo Fincasa,08-07-2017,14.5,28021,4.0,2.0,2.0,531.0,138,1975.0,Embajadores,2339,635000
3,h,Inmobiliaria Novo,08-07-2017,15.5,28007,3.0,2.0,4.0,708.0,,,Retiro,3656,675000
3,h,Alfa Inmobiliaria,08-07-2017,15.5,28029,3.0,1.0,4.0,650.0,100,1985.0,Chueca,3656,620000
5,h,Look & Find,08-07-2017,11.7,28031,5.0,3.0,2.0,596.0,176,1970.0,Chamberí,5629,1005000
4,t,Gilmar,08-07-2017,11.7,28021,4.0,2.0,1.0,330.0,,,Moratalaz,5629,710000
3,h,Inmobiliaria Tecnorete,08-07-2017,10.4,28014,,,,,,,Fuencarral-El Pardo,1119,655000
3,h,Remax,08-07-2017,10.4,28029,3.0,1.0,1.0,590.0,130,1970.0,Embajadores,1119,700000
3,h,Inmobiliaria La Playa,08-07-2017,10.4,28030,3.0,2.0,2.0,174.0,,2002.0,Carabanchel,1119,635000
2,u,Inmobiliaria Novo,08-07-2017,3.4,28028,2.0,1.0,1.0,4267.0,,,Chamartín,5263,438000
2,u,Alfa Inmobiliaria,08-07-2017,3.4,28002,2.0,2.0,1.0,2135.0,132,,Chueca,5263,710000
1,u,Inmobiliaria Zome,08-07-2017,3.4,28027,1.0,1.0,1.0,50.0,60,2000.0,Fuencarral-El Pardo,5263,390000
1,u,Engel & Völkers,08-07-2017,3.4,28032,1.0,1.0,1.0,1053.0,,,Cuzco,5263,410000
3,t,Look & Find,08-07-2017,5.4,28007,3.0,2.0,2.0,257.0,,,Vicálvaro,10331,1205000
3,h,Century 21,08-07-2017,5.4,28021,3.0,1.0,1.0,404.0,113,1930.0,Latina,10331,1410000
1,u,Inmobiliaria Don Piso,08-07-2017,5.4,28020,1.0,1.0,1.0,50.0,,,Embajadores,10331,520000
5,h,Inmobiliaria Activa,08-07-2017,25.2,28012,5.0,3.0,2.0,522.0,,,Arganzuela,8459,1100000
3,h,Inmobiliaria La Playa,08-07-2017,26.0,28031,3.0,1.0,3.0,992.0,,1957.0,Moncloa-Aravaca,4654,811000
3,h,Housell,08-07-2017,16.3,28019,3.0,2.0,1.0,655.0,120,1975.0,Chamberí,8279,710500
3,h,Inmobiliaria Habita2,08-07-2017,16.3,28008,3.0,1.0,2.0,604.0,102,1950.0,Tetuán,8279,752000
3,h,Inmobiliaria Barreras,08-07-2017,16.3,28007,3.0,1.0,2.0,575.0,113,1970.0,Chamartín,8279,622000
3,h,Donpiso,08-07-2017,41.0,28022,,,,,,,Hortaleza,8743,500000
2,u,Vivienda2,08-07-2017,12.7,28013,,,,,,,Retiro,4168,611000
3,t,Alfa Inmobiliaria,08-07-2017,6.4,28023,3.0,2.0,2.0,159.0,128,2016.0,Salamanca,3873,650000
2,u,Idealista,08-07-2017,6.4,28014,2.0,2.0,1.0,50.0,96,2017.0,Malasaña,3873,435000
3,h,Inmobiliaria Don Piso,08-07-2017,6.4,28021,3.0,1.0,2.0,420.0,,,Retiro,3873,876000
1,u,Inmobiliaria Soluciones,08-07-2017,5.9,28007,1.0,1.0,1.0,50.0,,1970.0,Carabanchel,4675,338000
2,u,Inmobiliaria Gicoc,08-07-2017,8.4,28032,,,,,,,Chamartín,8801,370000
4,h,Vivienda2,08-07-2017,4.3,28029,4.0,1.0,3.0,697.0,155,1920.0,Carabanchel,4918,1340000
3,h,Inmobiliaria Activa,08-07-2017,17.4,28023,3.0,1.0,1.0,702.0,96,1970.0,Chamberí,4704,450000
3,h,Idealista,08-07-2017,17.4,28022,3.0,1.0,2.0,570.0,112,1992.0,Chamartín,4704,440000
2,u,Inmobiliaria Proincasa,08-07-2017,0.0,28025,2.0,2.0,1.0,50.0,,,Ciudad Lineal,17496,1075000
4,h,Inmobiliaria MetroCuadrado,08-07-2017,31.7,28018,4.0,2.0,2.0,1241.0,194,1970.0,Tetuán,3600,550000
3,h,Remax,08-07-2017,31.7,28001,3.0,2.0,2.0,586.0,118,1980.0,Puente de Vallecas,3600,373500
2,h,Inmobiliaria Zome,08-07-2017,29.8,28032,2.0,1.0,1.0,180.0,,1990.0,Moncloa-Aravaca,4718,280500
2,u,Inmobiliaria Gicoc,08-07-2017,20.0,28014,2.0,1.0,1.0,128.0,72,1972.0,Carabanchel,6162,640000
4,h,Inmobiliaria MetroCuadrado,08-07-2017,20.0,28013,4.0,2.0,2.0,556.0,,,Malasaña,6162,1322000
3,t,Inmobiliaria MetroCuadrado,08-07-2017,20.0,28028,3.0,1.0,2.0,331.0,157.9352,1989.0,La Latina,6162,940000
3,h,Inmobiliaria Zome,08-07-2017,17.9,28025,3.0,2.0,2.0,649.0,,,Latina,10529,767500
3,h,Tecnocasa,08-07-2017,17.9,28031,3.0,2.0,2.0,531.0,,,Latina,10529,705000
3,h,Housell,08-07-2017,17.9,28018,3.0,2.0,2.0,840.0,161,1970.0,La Latina,10529,705000
4,h,Idealista,08-07-2017,17.9,28007,4.0,2.0,2.0,530.0,186,1990.0,Chamberí,10529,790000
4,h,Inmobiliaria Don Piso,08-07-2017,17.9,28016,4.0,2.0,2.0,537.0,,,Puente de Vallecas,10529,676000
5,h,Gilmar,08-07-2017,17.9,28011,5.0,3.0,2.0,656.0,130,1970.0,San Blas-Canillejas,10529,704500
4,h,Redpiso,08-07-2017,17.9,28011,4.0,2.0,1.0,531.0,175,1970.0,Fuencarral-El Pardo,10529,550000
5,h,Inmobiliaria Gicoc,08-07-2017,17.9,28018,5.0,3.0,1.0,531.0,122,1990.0,Lavapiés,10529,598000
3,h,Inmobiliaria Fincas Asesoria,08-07-2017,17.9,28008,3.0,1.0,1.0,622.0,128,1992.0,Fuencarral-El Pardo,10529,592000
3,h,Inmobiliaria Grupo Fincasa,08-07-2017,17.9,28001,3.0,1.0,1.0,546.0,136,1977.0,Usera,10529,602000
4,h,Inmobiliaria Proincasa,08-07-2017,17.2,28032,,,,,,,Embajadores,6871,1401000
3,h,Tecnocasa,08-07-2017,17.2,28024,3.0,1.0,1.0,493.0,,,Carabanchel,6871,1095000
2,h,Inmobiliaria MetroCuadrado,08-07-2017,17.2,28019,2.0,1.0,1.0,72.0,,2006.0,Carabanchel,6871,480000
4,h,Redpiso,08-07-2017,28.8,28019,4.0,2.0,2.0,846.0,160,1980.0,La Latina,2493,735000
1,h,Inmobiliaria Grupo Fincasa,08-07-2017,6.2,28025,1.0,1.0,1.0,552.0,190,,San Blas-Canillejas,6232,1425500
3,h,Inmobiliaria Don Piso,08-07-2017,6.2,28006,3.0,1.0,2.0,459.0,,,Villaverde,6232,1320000
4,h,Inmobiliaria Tecnorete,08-07-2017,6.2,28015,4.0,1.0,3.0,478.0,152,1925.0,Malasaña,6232,1270000
3,h,Inmobiliaria Interlar,08-07-2017,26.5,28020,3.0,2.0,2.0,1103.0,126.8,1976.0,Malasaña,8280,650000
4,h,Idealista,08-07-2017,26.5,28025,,,,,,,San Blas-Canillejas,8280,845000
4,h,Inmobiliaria Gicoc,08-07-2017,21.5,28020,4.0,2.0,2.0,530.0,313,2007.0,Lavapiés,3650,1400000
3,t,Inmobiliaria Soluciones,08-07-2017,21.5,28022,3.0,2.0,2.0,304.0,233,2007.0,Chueca,3650,1627000
3,h,Inmobiliaria Grupo Fincasa,08-07-2017,14.2,28011,3.0,2.0,3.0,650.0,,,Ciudad Lineal,13366,1150000
3,t,Inmobiliaria Interlar,08-07-2017,14.2,28007,3.0,2.0,2.0,366.0,,,Carabanchel,13366,1375000
3,h,Gilmar,08-07-2017,14.2,28031,3.0,1.0,2.0,288.0,,,Barajas,13366,850000
3,h,Remax,08-07-2017,14.2,28008,3.0,1.0,1.0,717.0,153,1960.0,Moratalaz,13366,1850000
5,h,Inmobiliaria Interlar,08-07-2017,18.8,28007,5.0,2.0,2.0,873.0,,,San Blas-Canillejas,7113,1016000
4,h,Engel & Völkers,08-07-2017,18.8,28005,4.0,2.0,1.0,790.0,,,Arganzuela,7113,992000
4,h,Alfa Inmobiliaria,08-07-2017,10.1,28010,4.0,2.0,1.0,632.0,265,1915.0,Lavapiés,4442,1820000
3,h,Housell,08-07-2017,10.1,28010,3.0,2.0,1.0,669.0,,,Moratalaz,4442,1620000
3,h,Inmobiliaria Habita2,08-07-2017,6.2,28032,3.0,1.0,2.0,366.0,,,Malasaña,5498,1000000
2,t,Inmobiliaria Zome,08-07-2017,22.7,28027,,,,,,,San Blas-Canillejas,11806,425000
3,h,Tecnocasa,08-07-2017,22.7,28030,3.0,1.0,1.0,637.0,,,Tetuán,11806,650000
2,u,Inmobiliaria Grupo Fincasa,08-07-2017,1.8,28023,2.0,2.0,1.0,50.0,95,2008.0,Lavapiés,6821,785000
2,u,Inmobiliaria Bankia,08-07-2017,1.8,28006,2.0,1.0,1.0,50.0,,,Usera,6821,620000
3,h,Remax,08-07-2017,15.4,28016,3.0,1.0,1.0,728.0,,,Latina,4973,1040000
2,u,Inmobiliaria Fincas Asesoria,08-07-2017,15.4,28024,2.0,1.0,1.0,149.0,84,1970.0,Paseo de la Castellana,4973,676000
3,h,Tecnocasa,08-07-2017,15.4,28014,3.0,1.0,2.0,598.0,143,1960.0,La Latina,4973,1002000
4,t,Inmobiliaria Grupo Fincasa,08-07-2017,15.4,28002,4.0,3.0,2.0,289.0,170,2011.0,Paseo de la Castellana,4973,1175000
3,h,Inmobiliaria Habita2,08-07-2017,12.3,28017,3.0,2.0,2.0,655.0,,1960.0,Ciudad Universitaria,3224,1365000
3,u,Inmobiliaria Novo,08-07-2017,12.3,28008,,,,,,,Usera,2547,800000
3,h,Look & Find,08-07-2017,12.3,28032,3.0,2.0,2.0,295.0,144,2006.0,Moncloa-Aravaca,2547,875000
3,h,Inmobiliaria Soluciones,08-07-2017,15.5,28015,3.0,2.0,2.0,504.0,,,Ciudad Lineal,3692,880000
3,h,Inmobiliaria MetroCuadrado,08-07-2017,15.5,28012,3.0,1.0,2.0,509.0,,,Embajadores,3692,1150000
4,u,Inmobiliaria Grupo Fincasa,08-07-2017,15.5,28002,4.0,2.0,2.0,50.0,147,2000.0,Moncloa-Aravaca,3692,774000
3,h,Inmobiliaria Fincas Asesoria,08-07-2017,15.5,28031,3.0,1.0,2.0,732.0,,,Villa de Vallecas,3692,1122000
4,t,Inmobiliaria Interlar,08-07-2017,15.5,28015,,,,,,,Paseo de la Castellana,3692,885000
1,u,Inmobiliaria Tecnorete,08-07-2017,11.4,28005,1.0,1.0,1.0,50.0,32,1960.0,Chueca,3578,327000
4,h,Engel & Völkers,08-07-2017,11.4,28016,4.0,2.0,2.0,700.0,210,1920.0,Latina,3578,1900000
4,h,Inmobiliaria Fincas Asesoria,08-07-2017,21.5,28026,4.0,2.0,3.0,220.0,213,2010.0,Arganzuela,5087,2185000
2,t,Remax,08-07-2017,1.8,28006,2.0,1.0,1.0,145.0,,,Arganzuela,2309,800000
2,t,Vivienda2,08-07-2017,8.5,28006,,,,,,,Paseo de la Castellana,7485,605000
3,t,Inmobiliaria Gicoc,08-07-2017,8.5,28030,,,,,,,Embajadores,7485,706000
3,h,Inmobiliaria Activa,08-07-2017,8.5,28021,3.0,2.0,1.0,330.0,226,2012.0,Villa de Vallecas,7485,1210000
4,h,Century 21,08-07-2017,14.7,28022,,,,,,,Villaverde,15542,599900
2,u,Alfa Inmobiliaria,08-07-2017,3.5,28012,2.0,2.0,1.0,2166.0,,,Puente de Vallecas,8648,635000
2,u,Look & Find,08-07-2017,4.6,28015,2.0,2.0,1.0,50.0,,2003.0,Fuencarral-El Pardo,7717,1003000
2,h,Inmobiliaria Habita2,08-07-2017,8.4,28014,2.0,1.0,1.0,155.0,,,Moncloa-Aravaca,14577,820000
3,h,Century 21,08-07-2017,8.4,28023,3.0,0.0,0.0,502.0,,,Embajadores,14577,1150000
3,h,Inmobiliaria Tecnorete,08-07-2017,12.0,28029,3.0,1.0,2.0,676.0,,1940.0,Ciudad Universitaria,21650,925000
1,h,Donpiso,08-07-2017,12.0,28010,,,,,,,Tetuán,21650,750000
3,u,Inmobiliaria Novo,08-07-2017,12.0,28023,,,,,,,Embajadores,21650,530000
2,u,Inmobiliaria MetroCuadrado,08-07-2017,12.0,28024,,,,,,,Moncloa-Aravaca,21650,490000
3,h,Inmobiliaria Interlar,08-07-2017,12.0,28026,3.0,1.0,1.0,308.0,,,Hortaleza,21650,526250
1,h,Inmobiliaria Proincasa,08-07-2017,12.0,28021,1.0,1.0,1.0,168.0,63,1950.0,Villa de Vallecas,21650,351000
3,h,Remax,08-07-2017,12.0,28023,3.0,1.0,1.0,606.0,,,Chamberí,21650,760000
3,h,Century 21,08-07-2017,12.0,28002,,,,,,,Puente de Vallecas,21650,880000
3,h,Engel & Völkers,08-07-2017,12.0,28022,3.0,1.0,2.0,514.0,,1960.0,Cuzco,21650,690000
2,u,Inmobiliaria Habita2,08-07-2017,2.4,28022,2.0,1.0,2.0,2427.0,,,Barajas,14949,715000
2,u,Inmobiliaria Soluciones,08-07-2017,2.4,28024,2.0,1.0,1.0,50.0,,1970.0,Ciudad Lineal,14949,630000
2,h,Inmobiliaria La Playa,08-07-2017,2.4,28012,2.0,2.0,1.0,189.0,,,Paseo de la Castellana,14949,1200000
2,u,Inmobiliaria Fincas Asesoria,08-07-2017,2.4,28007,,,,,,,Vicálvaro,14949,702000
4,h,Inmobiliaria NuevaVida,08-07-2017,19.9,28016,4.0,2.0,2.0,1016.0,310,2002.0,Carabanchel,7785,1725000
2,h,Inmobiliaria Interlar,08-07-2017,19.9,28018,2.0,1.0,2.0,123.0,95,2005.0,Usera,7785,633000
4,h,Inmobiliaria Barreras,08-07-2017,21.3,28016,4.0,1.0,2.0,894.0,115,1950.0,Carabanchel,4407,1090000
3,h,Inmobiliaria Gicoc,08-07-2017,8.9,28013,,,,,,,San Blas-Canillejas,3540,1060000
3,h,Inmobiliaria La Playa,08-07-2017,23.5,28020,,,,,,,Centro,11667,795000
4,h,Inmobiliaria Zome,08-07-2017,23.5,28010,4.0,2.0,2.0,675.0,190,1980.0,Centro,11667,936000
3,h,Donpiso,08-07-2017,23.5,28025,3.0,2.0,2.0,537.0,220,2001.0,Chueca,11667,860000
5,h,Century 21,08-07-2017,20.6,28012,,,,,,,Chamartín,5833,715000
4,h,Inmobiliaria Zome,08-07-2017,15.2,28027,4.0,3.0,2.0,709.0,327,2017.0,Villa de Vallecas,4497,850000
3,h,Century 21,08-07-2017,15.2,28012,,,,,,,Arganzuela,4497,1435000
3,h,Vivienda2,08-07-2017,22.2,28021,3.0,2.0,2.0,1088.0,,,Hortaleza,2206,1000000
3,h,Housell,08-07-2017,15.5,28011,3.0,2.0,2.0,531.0,,1990.0,Embajadores,1793,640000
4,h,Inmobiliaria Don Piso,08-07-2017,35.4,28004,4.0,2.0,0.0,1151.0,207,1969.0,Moratalaz,8077,800000
